"address","categories/0","categoryName","cid","city","countryCode","fid","imageUrl","isAdvertisement","isLocalGuide","language","likesCount","location/lat","location/lng","name","neighborhood","originalLanguage","permanentlyClosed","placeId","postalCode","price","publishAt","publishedAtDate","rating","responseFromOwnerDate","responseFromOwnerText","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewOrigin","reviewUrl","reviewerId","reviewerNumberOfReviews","reviewerPhotoUrl","reviewerUrl","reviewsCount","scrapedAt","searchString","stars","state","street","temporarilyClosed","text","textTranslated","title","totalScore","translatedLanguage","url","visitedIn"
"2747 Via Campo, Montebello, CA 90640","Ford dealer","Ford dealer","10508120053796346450","Montebello","US","0x80c2cfc3a6fc722f:0x91d45783b7b09a52","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_Y3hle5zNb48HwS-4iM1AgMsSY3Ku_nRIVXka6lAvapIuklNN2fOz5kkIOPcOsk6j-VT4EGUbRbe0SEK5yEYdwKJikqHfSkE-EzXXg4QbMBLTWSbDCVDPbTawU8QLHtoqRAh2k=w408-h306-k-no","false","false","en","0","34.0323066","-118.1269824","Samanda Beltran","South Montebello",,"false","ChIJL3L8psPPwoARUpqwt4NX1JE","90640",,"9 hours ago","2025-04-09T21:49:51.912Z",,,,"ChZDSUhNMG9nS0VJQ0FnTURJenBuSGVnEAE",,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTURJenBuSGVnEAE!2m1!1s0x0:0x91d45783b7b09a52!3m1!1s2@1:CIHM0ogKEICAgMDIzpnHeg%7CCgwI_9bbvwYQwJuoswM%7C?hl=en","111945474070990606101","1","https://lh3.googleusercontent.com/a/ACg8ocJKaK-Wl0dVPW81rNR25q2xMfAr8jurWwMxNl6yfw5c3MCI4A=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/111945474070990606101?hl=en","1587","2025-04-10T06:56:17.391Z","Direct Detail URL: https://www.google.com/maps/place/Ford+of+Montebello/@34.0323066,-118.1269824,17z/data=!4m8!3m7!1s0x80c2cfc3a6fc722f:0x91d45783b7b09a52!8m2!3d34.0323066!4d-118.1269824!9m1!1b1!16s%2Fg%2F1tf7bcdy?entry=ttu&g_ep=EgoyMDI1MDQwNy4wIKXMDSoASAFQAw%3D%3D","5","California","2747 Via Campo","false",,,"Ford of Montebello","4.3",,"https://www.google.com/maps/search/?api=1&query=Ford%20of%20Montebello&query_place_id=ChIJL3L8psPPwoARUpqwt4NX1JE",
"2747 Via Campo, Montebello, CA 90640","Ford dealer","Ford dealer","10508120053796346450","Montebello","US","0x80c2cfc3a6fc722f:0x91d45783b7b09a52","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_Y3hle5zNb48HwS-4iM1AgMsSY3Ku_nRIVXka6lAvapIuklNN2fOz5kkIOPcOsk6j-VT4EGUbRbe0SEK5yEYdwKJikqHfSkE-EzXXg4QbMBLTWSbDCVDPbTawU8QLHtoqRAh2k=w408-h306-k-no","false","false","en","0","34.0323066","-118.1269824","Paul Cota","South Montebello",,"false","ChIJL3L8psPPwoARUpqwt4NX1JE","90640",,"a day ago","2025-04-08T20:23:06.769Z",,"2025-04-09T13:03:50.000Z","Hi Paul, thanks for the great star-rating! Safe travels!","ChdDSUhNMG9nS0VJQ0FnTURJeXJuQV9RRRAB",,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURJeXJuQV9RRRAB!2m1!1s0x0:0x91d45783b7b09a52!3m1!1s2@1:CIHM0ogKEICAgMDIyrnA_QE%7CCgwIqovWvwYQ0LyJ7wI%7C?hl=en","109728419569367314956","0","https://lh3.googleusercontent.com/a/ACg8ocKrikTpbVbaIx03Xm4SU9K3Kidzpk_YE7ROaG4eQ3_b4FQ-yw=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/109728419569367314956?hl=en","1587","2025-04-10T06:56:17.391Z","Direct Detail URL: https://www.google.com/maps/place/Ford+of+Montebello/@34.0323066,-118.1269824,17z/data=!4m8!3m7!1s0x80c2cfc3a6fc722f:0x91d45783b7b09a52!8m2!3d34.0323066!4d-118.1269824!9m1!1b1!16s%2Fg%2F1tf7bcdy?entry=ttu&g_ep=EgoyMDI1MDQwNy4wIKXMDSoASAFQAw%3D%3D","4","California","2747 Via Campo","false",,,"Ford of Montebello","4.3",,"https://www.google.com/maps/search/?api=1&query=Ford%20of%20Montebello&query_place_id=ChIJL3L8psPPwoARUpqwt4NX1JE",
"2747 Via Campo, Montebello, CA 90640","Ford dealer","Ford dealer","10508120053796346450","Montebello","US","0x80c2cfc3a6fc722f:0x91d45783b7b09a52","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_Y3hle5zNb48HwS-4iM1AgMsSY3Ku_nRIVXka6lAvapIuklNN2fOz5kkIOPcOsk6j-VT4EGUbRbe0SEK5yEYdwKJikqHfSkE-EzXXg4QbMBLTWSbDCVDPbTawU8QLHtoqRAh2k=w408-h306-k-no","false","false","en","0","34.0323066","-118.1269824","Marcos Meza","South Montebello",,"false","ChIJL3L8psPPwoARUpqwt4NX1JE","90640",,"2 days ago","2025-04-07T21:31:38.488Z",,"2025-04-08T11:07:11.000Z","Hi Marcos, thank you so much for your high rating! Safe travels!","ChdDSUhNMG9nS0VJQ0FnTURJekozTXNBRRAB",,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURJekozTXNBRRAB!2m1!1s0x0:0x91d45783b7b09a52!3m1!1s2@1:CIHM0ogKEICAgMDIzJ3MsAE%7CCgwIuojRvwYQ4PCD6QE%7C?hl=en","118090304345801722009","1","https://lh3.googleusercontent.com/a/ACg8ocIdZGBvbofiVrLqn6YJv_HGVe4VhkFYduVQh5Mkz2Nmvhc2gw=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/118090304345801722009?hl=en","1587","2025-04-10T06:56:17.391Z","Direct Detail URL: https://www.google.com/maps/place/Ford+of+Montebello/@34.0323066,-118.1269824,17z/data=!4m8!3m7!1s0x80c2cfc3a6fc722f:0x91d45783b7b09a52!8m2!3d34.0323066!4d-118.1269824!9m1!1b1!16s%2Fg%2F1tf7bcdy?entry=ttu&g_ep=EgoyMDI1MDQwNy4wIKXMDSoASAFQAw%3D%3D","5","California","2747 Via Campo","false",,,"Ford of Montebello","4.3",,"https://www.google.com/maps/search/?api=1&query=Ford%20of%20Montebello&query_place_id=ChIJL3L8psPPwoARUpqwt4NX1JE",
"2747 Via Campo, Montebello, CA 90640","Ford dealer","Ford dealer","10508120053796346450","Montebello","US","0x80c2cfc3a6fc722f:0x91d45783b7b09a52","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_Y3hle5zNb48HwS-4iM1AgMsSY3Ku_nRIVXka6lAvapIuklNN2fOz5kkIOPcOsk6j-VT4EGUbRbe0SEK5yEYdwKJikqHfSkE-EzXXg4QbMBLTWSbDCVDPbTawU8QLHtoqRAh2k=w408-h306-k-no","false","false","en","0","34.0323066","-118.1269824","Andrea Plascencia","South Montebello",,"false","ChIJL3L8psPPwoARUpqwt4NX1JE","90640",,"2 days ago","2025-04-07T19:46:45.990Z",,"2025-04-08T12:59:13.000Z","Hi Andrea, thanks for the great star-rating! Safe travels!","ChdDSUhNMG9nS0VJQ0FnTURJak5fcF9BRRAB",,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURJak5fcF9BRRAB!2m1!1s0x0:0x91d45783b7b09a52!3m1!1s2@1:CIHM0ogKEICAgMDIjN_p_AE%7CCgwIpdfQvwYQ6Jqk2AM%7C?hl=en","117789268446681302226","1","https://lh3.googleusercontent.com/a/ACg8ocLZ8EQ7kMOecs_shj0wrE63ync-G6XJcbe9BEqbO7-kFBhbDw=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/117789268446681302226?hl=en","1587","2025-04-10T06:56:17.391Z","Direct Detail URL: https://www.google.com/maps/place/Ford+of+Montebello/@34.0323066,-118.1269824,17z/data=!4m8!3m7!1s0x80c2cfc3a6fc722f:0x91d45783b7b09a52!8m2!3d34.0323066!4d-118.1269824!9m1!1b1!16s%2Fg%2F1tf7bcdy?entry=ttu&g_ep=EgoyMDI1MDQwNy4wIKXMDSoASAFQAw%3D%3D","5","California","2747 Via Campo","false",,,"Ford of Montebello","4.3",,"https://www.google.com/maps/search/?api=1&query=Ford%20of%20Montebello&query_place_id=ChIJL3L8psPPwoARUpqwt4NX1JE",
"2747 Via Campo, Montebello, CA 90640","Ford dealer","Ford dealer","10508120053796346450","Montebello","US","0x80c2cfc3a6fc722f:0x91d45783b7b09a52","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_Y3hle5zNb48HwS-4iM1AgMsSY3Ku_nRIVXka6lAvapIuklNN2fOz5kkIOPcOsk6j-VT4EGUbRbe0SEK5yEYdwKJikqHfSkE-EzXXg4QbMBLTWSbDCVDPbTawU8QLHtoqRAh2k=w408-h306-k-no","false","false","en","0","34.0323066","-118.1269824","Mario Barboza","South Montebello","en","false","ChIJL3L8psPPwoARUpqwt4NX1JE","90640",,"4 days ago","2025-04-05T21:20:12.621Z",,"2023-07-16T16:22:47.000Z","Hi Mario, thank you for your kind words and congratulations on your new vehicle! We hope to be of service to you again! Take care!","ChdDSUhNMG9nS0VJQ0FnSUNKNDl6dV9nRRAB",,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNKNDl6dV9nRRAB!2m1!1s0x0:0x91d45783b7b09a52!3m1!1s2@1:CIHM0ogKEICAgICJ49zu_gE%7CCgwIjL3GvwYQ2K-fqAI%7C?hl=en","102165002322755433743","2","https://lh3.googleusercontent.com/a-/ALV-UjWCFdI505QWr-4tN1ZKgVKc27KpEIl7H9mlk1lWX1gOamRzHSfy=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/102165002322755433743?hl=en","1587","2025-04-10T06:56:17.391Z","Direct Detail URL: https://www.google.com/maps/place/Ford+of+Montebello/@34.0323066,-118.1269824,17z/data=!4m8!3m7!1s0x80c2cfc3a6fc722f:0x91d45783b7b09a52!8m2!3d34.0323066!4d-118.1269824!9m1!1b1!16s%2Fg%2F1tf7bcdy?entry=ttu&g_ep=EgoyMDI1MDQwNy4wIKXMDSoASAFQAw%3D%3D","5","California","2747 Via Campo","false","Went to ford of montebello just to see the vehicles with my wife and kids just for future options, came out selling my vehicle and buying a new 2023 ford explorer timberline. At work and around home, it's an eye catcher. Think I made a good buy for my family.",,"Ford of Montebello","4.3",,"https://www.google.com/maps/search/?api=1&query=Ford%20of%20Montebello&query_place_id=ChIJL3L8psPPwoARUpqwt4NX1JE",
"2747 Via Campo, Montebello, CA 90640","Ford dealer","Ford dealer","10508120053796346450","Montebello","US","0x80c2cfc3a6fc722f:0x91d45783b7b09a52","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_Y3hle5zNb48HwS-4iM1AgMsSY3Ku_nRIVXka6lAvapIuklNN2fOz5kkIOPcOsk6j-VT4EGUbRbe0SEK5yEYdwKJikqHfSkE-EzXXg4QbMBLTWSbDCVDPbTawU8QLHtoqRAh2k=w408-h306-k-no","false","false","en","0","34.0323066","-118.1269824","willian avila","South Montebello","en","false","ChIJL3L8psPPwoARUpqwt4NX1JE","90640",,"4 days ago","2025-04-05T18:09:18.847Z",,"2025-04-06T16:05:27.000Z","Hi Willian, your comments keep us motivated and working hard for all our guests! We're always here to provide exceptional service at a great value -- we hope you'll consider us again in the future!","ChZDSUhNMG9nS0VJQ0FnTUNJNzV1akh3EAE",,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNJNzV1akh3EAE!2m1!1s0x0:0x91d45783b7b09a52!3m1!1s2@1:CIHM0ogKEICAgMCI75ujHw%7CCgwIzuPFvwYQsJSalAM%7C?hl=en","105933343662534455219","1","https://lh3.googleusercontent.com/a-/ALV-UjWNXCJDtRpSxDvpLSWen76GM0hpiea1MCS08ZzYlw5BNEyZ6Gt8=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/105933343662534455219?hl=en","1587","2025-04-10T06:56:17.391Z","Direct Detail URL: https://www.google.com/maps/place/Ford+of+Montebello/@34.0323066,-118.1269824,17z/data=!4m8!3m7!1s0x80c2cfc3a6fc722f:0x91d45783b7b09a52!8m2!3d34.0323066!4d-118.1269824!9m1!1b1!16s%2Fg%2F1tf7bcdy?entry=ttu&g_ep=EgoyMDI1MDQwNy4wIKXMDSoASAFQAw%3D%3D","5","California","2747 Via Campo","false","i was expecting the typical car dealer behavior, but these guys were not that. julio was helpful, reasonable and professional through the  process start to finish.",,"Ford of Montebello","4.3",,"https://www.google.com/maps/search/?api=1&query=Ford%20of%20Montebello&query_place_id=ChIJL3L8psPPwoARUpqwt4NX1JE",
"2747 Via Campo, Montebello, CA 90640","Ford dealer","Ford dealer","10508120053796346450","Montebello","US","0x80c2cfc3a6fc722f:0x91d45783b7b09a52","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_Y3hle5zNb48HwS-4iM1AgMsSY3Ku_nRIVXka6lAvapIuklNN2fOz5kkIOPcOsk6j-VT4EGUbRbe0SEK5yEYdwKJikqHfSkE-EzXXg4QbMBLTWSbDCVDPbTawU8QLHtoqRAh2k=w408-h306-k-no","false","false","en","0","34.0323066","-118.1269824","Douglas Fuentes","South Montebello",,"false","ChIJL3L8psPPwoARUpqwt4NX1JE","90640",,"4 days ago","2025-04-05T17:12:46.410Z",,"2025-04-06T08:45:35.000Z","Hi Douglas, thanks for the great star-rating! Please let us know if there is ever anything else we can do for you! Safe travels!","ChZDSUhNMG9nS0VJQ0FnTUNJNy1Ld2J3EAE","https://lh3.googleusercontent.com/geougc-cs/AIHozJKqcyEjCNVKDrgTu_tPP_RsmYs9FEF98wT2YK_nqDjNlPJcJQCIGknpjL9M6itrl_zorA9NND-fXfadOjTCgX5qg_tay-vL28ZcJFl9mpydhOzs5SgEcGmu-VHbtTjhPcKUilQ",,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNJNy1Ld2J3EAE!2m1!1s0x0:0x91d45783b7b09a52!3m1!1s2@1:CIHM0ogKEICAgMCI7-Kwbw%7CCgwIjsnFvwYQgPv8wwE%7C?hl=en","113709079021187450182","0","https://lh3.googleusercontent.com/a/ACg8ocKySeTI_7Yfit44bbWPnoOfKlwzzGm66AYFk3wPzKvcGW1MvQ=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/113709079021187450182?hl=en","1587","2025-04-10T06:56:17.391Z","Direct Detail URL: https://www.google.com/maps/place/Ford+of+Montebello/@34.0323066,-118.1269824,17z/data=!4m8!3m7!1s0x80c2cfc3a6fc722f:0x91d45783b7b09a52!8m2!3d34.0323066!4d-118.1269824!9m1!1b1!16s%2Fg%2F1tf7bcdy?entry=ttu&g_ep=EgoyMDI1MDQwNy4wIKXMDSoASAFQAw%3D%3D","5","California","2747 Via Campo","false",,,"Ford of Montebello","4.3",,"https://www.google.com/maps/search/?api=1&query=Ford%20of%20Montebello&query_place_id=ChIJL3L8psPPwoARUpqwt4NX1JE",
"2747 Via Campo, Montebello, CA 90640","Ford dealer","Ford dealer","10508120053796346450","Montebello","US","0x80c2cfc3a6fc722f:0x91d45783b7b09a52","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_Y3hle5zNb48HwS-4iM1AgMsSY3Ku_nRIVXka6lAvapIuklNN2fOz5kkIOPcOsk6j-VT4EGUbRbe0SEK5yEYdwKJikqHfSkE-EzXXg4QbMBLTWSbDCVDPbTawU8QLHtoqRAh2k=w408-h306-k-no","false","false","en","0","34.0323066","-118.1269824","Danielle Flores","South Montebello",,"false","ChIJL3L8psPPwoARUpqwt4NX1JE","90640",,"4 days ago","2025-04-05T16:57:46.565Z",,"2025-04-06T08:44:36.000Z","Hi Danielle, thanks for the great star-rating! If there is anything else we can do to assist you, please let us know! Take care!","ChZDSUhNMG9nS0VJQ0FnTUNJNzVqdFVBEAE",,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNJNzVqdFVBEAE!2m1!1s0x0:0x91d45783b7b09a52!3m1!1s2@1:CIHM0ogKEICAgMCI75jtUA%7CCgwIisLFvwYQqO23jQI%7C?hl=en","109088655614789127311","3","https://lh3.googleusercontent.com/a-/ALV-UjWsc2nrM1gZQ59SWLo9H6FyhjVff9Zr1jvDLhmX-7cBGZ6lIEl1=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/109088655614789127311?hl=en","1587","2025-04-10T06:56:17.391Z","Direct Detail URL: https://www.google.com/maps/place/Ford+of+Montebello/@34.0323066,-118.1269824,17z/data=!4m8!3m7!1s0x80c2cfc3a6fc722f:0x91d45783b7b09a52!8m2!3d34.0323066!4d-118.1269824!9m1!1b1!16s%2Fg%2F1tf7bcdy?entry=ttu&g_ep=EgoyMDI1MDQwNy4wIKXMDSoASAFQAw%3D%3D","5","California","2747 Via Campo","false",,,"Ford of Montebello","4.3",,"https://www.google.com/maps/search/?api=1&query=Ford%20of%20Montebello&query_place_id=ChIJL3L8psPPwoARUpqwt4NX1JE",
"2747 Via Campo, Montebello, CA 90640","Ford dealer","Ford dealer","10508120053796346450","Montebello","US","0x80c2cfc3a6fc722f:0x91d45783b7b09a52","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_Y3hle5zNb48HwS-4iM1AgMsSY3Ku_nRIVXka6lAvapIuklNN2fOz5kkIOPcOsk6j-VT4EGUbRbe0SEK5yEYdwKJikqHfSkE-EzXXg4QbMBLTWSbDCVDPbTawU8QLHtoqRAh2k=w408-h306-k-no","false","false","en","0","34.0323066","-118.1269824","David Sanchez","South Montebello","en","false","ChIJL3L8psPPwoARUpqwt4NX1JE","90640",,"6 days ago","2025-04-04T00:55:54.359Z",,"2025-04-01T14:05:44.000Z","Hi David, our Staff is dedicated to providing all our guests with outstanding customer service and quality work you can trust! Please let us know if you have any additional questions about services you received and thank you again for choosing Ford of Montebello!","ChZDSUhNMG9nS0VJQ0FnTUNJc3NLVFVREAE","https://lh3.googleusercontent.com/geougc-cs/AIHozJKz8XMblgUiDG4NDbBDOLJZqJum2elb5hjcNTgj2OvYu8QkwpR5cQ_p7LxTsG9UmctzvwKTRUVOZUPLxZKFax09Nf617kWmRN1p5gbvH38RGHnawyDCQmxKVHQiGoZGuzYKJXg6",,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNJc3NLVFVREAE!2m1!1s0x0:0x91d45783b7b09a52!3m1!1s2@1:CIHM0ogKEICAgMCIssKTUQ%7CCgwImty8vwYQsNDQqwE%7C?hl=en","109983492136726537312","8","https://lh3.googleusercontent.com/a/ACg8ocJvf9XgNNxNumO8LiLe9rhLjWVS6mAdJgS0isb0lCe4CEVHHw=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/109983492136726537312?hl=en","1587","2025-04-10T06:56:17.391Z","Direct Detail URL: https://www.google.com/maps/place/Ford+of+Montebello/@34.0323066,-118.1269824,17z/data=!4m8!3m7!1s0x80c2cfc3a6fc722f:0x91d45783b7b09a52!8m2!3d34.0323066!4d-118.1269824!9m1!1b1!16s%2Fg%2F1tf7bcdy?entry=ttu&g_ep=EgoyMDI1MDQwNy4wIKXMDSoASAFQAw%3D%3D","5","California","2747 Via Campo","false","I found the exact truck that I wanted.  I’m very happy with it.  Julio was my salesperson.  He did a great job.  Daniel did a great job in finance.  Jose also showed me the features of my truck.",,"Ford of Montebello","4.3",,"https://www.google.com/maps/search/?api=1&query=Ford%20of%20Montebello&query_place_id=ChIJL3L8psPPwoARUpqwt4NX1JE",
"2747 Via Campo, Montebello, CA 90640","Ford dealer","Ford dealer","10508120053796346450","Montebello","US","0x80c2cfc3a6fc722f:0x91d45783b7b09a52","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_Y3hle5zNb48HwS-4iM1AgMsSY3Ku_nRIVXka6lAvapIuklNN2fOz5kkIOPcOsk6j-VT4EGUbRbe0SEK5yEYdwKJikqHfSkE-EzXXg4QbMBLTWSbDCVDPbTawU8QLHtoqRAh2k=w408-h306-k-no","false","false","en","0","34.0323066","-118.1269824","Gabriela Mujica","South Montebello","en","false","ChIJL3L8psPPwoARUpqwt4NX1JE","90640",,"6 days ago","2025-04-03T21:07:33.049Z",,"2025-03-31T11:06:42.000Z","Hi Gabriela, thank you for taking the time to leave us your response to our Staff's outstanding customer service! Safe travels!","ChdDSUhNMG9nS0VJQ0FnTUNJak96RGxBRRAB",,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNJak96RGxBRRAB!2m1!1s0x0:0x91d45783b7b09a52!3m1!1s2@1:CIHM0ogKEICAgMCIjOzDlAE%7CCgsIlfG7vwYQgILhFw%7C?hl=en","109667979901274788103","2","https://lh3.googleusercontent.com/a/ACg8ocLmnboTjL5WIyJpnuIA263TTn6y72GghbBEHp3MOaeV0UKdlg=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/109667979901274788103?hl=en","1587","2025-04-10T06:56:17.391Z","Direct Detail URL: https://www.google.com/maps/place/Ford+of+Montebello/@34.0323066,-118.1269824,17z/data=!4m8!3m7!1s0x80c2cfc3a6fc722f:0x91d45783b7b09a52!8m2!3d34.0323066!4d-118.1269824!9m1!1b1!16s%2Fg%2F1tf7bcdy?entry=ttu&g_ep=EgoyMDI1MDQwNy4wIKXMDSoASAFQAw%3D%3D","5","California","2747 Via Campo","false","Julio was great . We are very content with our purchase",,"Ford of Montebello","4.3",,"https://www.google.com/maps/search/?api=1&query=Ford%20of%20Montebello&query_place_id=ChIJL3L8psPPwoARUpqwt4NX1JE",
